,checkin_type,state,delay_at_checkout_in_minutes,time_delta_with_previous_rental_in_minutes
230,mobile,ended,20.0,
231,connect,canceled,,
232,mobile,ended,,
233,connect,ended,-467.0,
234,connect,canceled,,
235,mobile,ended,20.0,
236,mobile,ended,69.0,
237,mobile,ended,-9.0,
238,mobile,ended,-80.0,
239,mobile,ended,-44.0,
240,mobile,ended,163.0,
241,mobile,ended,-2.0,
242,connect,canceled,,630.0
243,mobile,ended,10.0,
244,mobile,ended,-52.0,
245,mobile,canceled,,
246,mobile,ended,16.0,660.0
247,mobile,ended,92.0,
248,mobile,canceled,,
249,mobile,ended,7.0,
250,mobile,ended,,
251,connect,ended,-55.0,
252,mobile,ended,30.0,
253,mobile,ended,261.0,
254,connect,ended,84.0,
255,connect,ended,85.0,
256,mobile,ended,10.0,
257,mobile,ended,-113.0,
258,connect,ended,423.0,
259,mobile,ended,500.0,
260,mobile,ended,,
261,mobile,canceled,,
262,connect,ended,-5.0,
263,mobile,ended,1.0,
264,connect,ended,-548.0,
265,mobile,ended,266.0,30.0
266,mobile,ended,145.0,
267,connect,ended,8.0,
268,mobile,ended,-8.0,
269,mobile,ended,74.0,
270,mobile,ended,126.0,
271,mobile,ended,15.0,
272,mobile,canceled,,
273,mobile,ended,-8.0,
274,connect,ended,-692.0,
275,mobile,ended,195.0,
276,mobile,canceled,,
277,mobile,canceled,,
278,mobile,ended,-133.0,
279,mobile,ended,-22.0,
280,mobile,ended,201.0,
281,mobile,ended,21.0,
282,mobile,ended,-307.0,
283,mobile,ended,-40.0,
284,mobile,ended,225.0,60.0
285,mobile,canceled,,
286,mobile,ended,-37.0,
287,mobile,canceled,,
288,mobile,ended,-12.0,
289,mobile,ended,-11.0,
290,connect,ended,-26.0,
291,connect,ended,-49.0,
292,mobile,ended,381.0,
293,connect,ended,22.0,
294,mobile,ended,144.0,
295,mobile,ended,69.0,
296,mobile,ended,19.0,
297,mobile,ended,10.0,
298,mobile,ended,-5.0,
299,connect,ended,-127.0,
300,mobile,ended,-158.0,
301,connect,ended,54.0,
302,mobile,ended,3.0,
303,mobile,ended,201.0,
304,mobile,ended,167.0,
305,mobile,ended,,
306,mobile,ended,-136.0,
307,mobile,ended,-158.0,
308,mobile,ended,20.0,
309,connect,ended,-7.0,
310,mobile,ended,-15.0,
311,mobile,ended,-127.0,60.0
312,mobile,ended,82.0,
313,connect,ended,37.0,
314,mobile,ended,0.0,
315,mobile,ended,,120.0
316,connect,ended,-41.0,
317,connect,ended,-25.0,
318,mobile,canceled,,
319,mobile,ended,-1283.0,
320,mobile,ended,40.0,
321,connect,ended,-22.0,180.0
322,mobile,ended,211.0,
323,mobile,ended,97.0,
324,connect,ended,16.0,
325,mobile,ended,536.0,
326,mobile,ended,159.0,
327,mobile,ended,,
328,mobile,ended,-7.0,
329,connect,ended,34.0,
330,mobile,ended,203.0,
331,mobile,ended,,
332,mobile,ended,275.0,
333,mobile,canceled,,
334,mobile,ended,-193.0,
335,mobile,ended,,
336,mobile,ended,11.0,
337,mobile,ended,91.0,
338,mobile,ended,23.0,
339,connect,ended,4.0,
340,mobile,ended,-28.0,
341,mobile,canceled,,
342,connect,ended,23.0,0.0
343,mobile,ended,-965.0,0.0
344,mobile,ended,6.0,
345,connect,ended,-102.0,30.0
346,mobile,ended,-232.0,
347,connect,ended,-22.0,
348,mobile,ended,322.0,
349,mobile,ended,31.0,
350,mobile,ended,63.0,
351,mobile,ended,10.0,
352,connect,ended,40.0,
353,mobile,ended,20.0,
354,mobile,ended,,
355,mobile,ended,5.0,
356,mobile,ended,,
357,mobile,ended,7.0,
358,mobile,ended,-1.0,
359,mobile,ended,24.0,150.0
360,mobile,ended,170.0,
361,connect,ended,-20.0,
362,mobile,ended,-3.0,
363,mobile,ended,-36.0,
364,connect,ended,-29.0,
365,mobile,ended,1.0,
366,connect,ended,11.0,
367,mobile,canceled,,
368,mobile,ended,-148.0,
369,mobile,ended,,
370,mobile,ended,37.0,
371,connect,ended,-37.0,
372,mobile,ended,358.0,
373,mobile,ended,-5.0,
374,mobile,canceled,,
375,mobile,ended,17.0,720.0
376,mobile,ended,-72.0,
377,mobile,ended,161.0,
378,mobile,ended,146.0,
379,mobile,ended,-919.0,
380,connect,ended,-95.0,
381,mobile,ended,,
382,connect,canceled,,
383,mobile,ended,19.0,
384,mobile,ended,-26.0,
385,mobile,canceled,,
386,mobile,ended,58.0,
387,mobile,ended,21.0,
388,connect,ended,-1019.0,
389,connect,canceled,,
390,mobile,ended,181.0,
391,mobile,canceled,,
392,mobile,canceled,,
393,mobile,ended,14.0,
394,mobile,ended,8.0,
395,mobile,ended,77.0,
396,mobile,ended,-12.0,
397,mobile,ended,-581.0,
398,mobile,ended,59.0,
399,mobile,ended,98.0,
400,mobile,ended,23.0,
401,mobile,ended,14.0,
402,mobile,ended,7.0,
403,mobile,ended,-16.0,
404,connect,canceled,,
405,mobile,ended,55.0,
406,mobile,ended,101.0,
407,mobile,ended,47.0,
408,mobile,ended,21.0,
409,mobile,ended,-85.0,
410,mobile,ended,15.0,480.0
411,mobile,ended,122.0,
412,mobile,ended,996.0,
413,mobile,ended,,
414,mobile,ended,67.0,
415,mobile,ended,-4.0,
416,mobile,ended,-25.0,
417,connect,ended,-40.0,180.0
418,connect,ended,-4.0,600.0
419,mobile,canceled,,
420,mobile,ended,173.0,
421,mobile,canceled,,
422,connect,ended,-256.0,30.0
423,mobile,ended,20.0,
424,mobile,ended,72.0,
425,mobile,ended,3.0,
426,mobile,ended,102.0,
427,connect,ended,-126.0,
428,mobile,ended,-5.0,
429,connect,ended,27.0,
430,connect,canceled,,
431,mobile,ended,,
432,mobile,canceled,,
433,mobile,ended,2.0,
434,mobile,ended,89.0,
435,connect,ended,-16.0,90.0
436,mobile,ended,18.0,60.0
437,connect,canceled,,
438,mobile,ended,44.0,0.0
439,mobile,ended,21.0,
440,mobile,ended,-3.0,
441,mobile,ended,-78.0,
442,mobile,ended,52.0,
443,mobile,canceled,,
444,mobile,ended,,
445,mobile,ended,-14.0,
446,mobile,ended,-41.0,
447,mobile,ended,84.0,
448,connect,ended,,
449,mobile,ended,-18.0,
450,mobile,ended,65.0,
451,mobile,ended,10.0,
452,mobile,ended,-14.0,
453,mobile,ended,-21.0,
454,mobile,ended,-40.0,
455,mobile,ended,-104.0,
456,connect,ended,-3.0,30.0
457,connect,ended,173.0,
458,connect,ended,-54.0,360.0
459,connect,ended,7.0,540.0
460,connect,canceled,,
461,mobile,ended,108.0,
462,mobile,ended,-38.0,
463,mobile,canceled,,
464,mobile,ended,-208.0,
465,mobile,canceled,,
466,mobile,canceled,,
467,mobile,canceled,,
468,mobile,ended,-35.0,
469,mobile,canceled,,
470,mobile,ended,73.0,
471,connect,ended,73.0,
472,mobile,canceled,,
473,mobile,canceled,,
474,mobile,ended,129.0,
475,connect,ended,-709.0,
476,mobile,canceled,,
477,mobile,ended,-30.0,
478,mobile,ended,15.0,
479,mobile,canceled,,
480,mobile,ended,30.0,
481,mobile,ended,-14.0,
482,mobile,ended,-444.0,
483,mobile,ended,33.0,
484,mobile,ended,,
485,mobile,canceled,,
486,connect,ended,-83.0,
487,connect,ended,-432.0,
488,mobile,ended,-16.0,
489,connect,ended,25.0,60.0
490,mobile,ended,,
491,connect,ended,27.0,
492,mobile,ended,-47.0,
493,mobile,ended,,
494,mobile,ended,99.0,660.0
495,mobile,ended,4.0,
496,mobile,ended,90.0,
497,mobile,canceled,,
498,mobile,ended,20.0,180.0
499,mobile,canceled,,
500,mobile,ended,10.0,
501,mobile,ended,69.0,420.0
502,mobile,canceled,,
503,mobile,ended,335.0,
504,mobile,canceled,,150.0
505,mobile,canceled,,
506,mobile,ended,-20.0,
507,mobile,canceled,,
508,mobile,ended,403.0,
509,mobile,canceled,,
510,mobile,ended,1.0,
511,mobile,canceled,,
512,connect,ended,-167.0,
513,mobile,ended,136.0,
514,mobile,canceled,,
515,mobile,ended,62.0,
516,mobile,ended,-55.0,
517,mobile,ended,-100.0,
518,mobile,ended,-80.0,
519,mobile,ended,41.0,
520,mobile,ended,45.0,
521,mobile,ended,436.0,
522,mobile,ended,-43.0,
523,connect,ended,-155.0,
524,mobile,ended,-3.0,
525,mobile,ended,42.0,
526,connect,ended,-1.0,
527,mobile,ended,,
528,mobile,ended,-10.0,
529,mobile,ended,15.0,
530,mobile,ended,7.0,
531,mobile,canceled,,
532,mobile,ended,181.0,
533,mobile,ended,14.0,
534,mobile,ended,,
535,mobile,ended,7.0,
536,mobile,ended,-10.0,
537,connect,canceled,,
538,mobile,ended,-52.0,
539,mobile,canceled,,
540,mobile,ended,-34.0,
541,connect,ended,162.0,
542,mobile,canceled,,
543,mobile,ended,,
544,mobile,ended,946.0,
545,mobile,ended,-12.0,
546,connect,ended,-76.0,
