,checkin_type,state,delay_at_checkout_in_minutes,time_delta_with_previous_rental_in_minutes
3607,mobile,canceled,,
3608,mobile,ended,2.0,
3609,connect,ended,60.0,
3610,mobile,ended,28.0,
3611,mobile,ended,-152.0,
3613,mobile,ended,-166.0,
3614,mobile,ended,,
3615,connect,ended,-28.0,
3616,mobile,ended,53.0,
3617,mobile,canceled,,
3618,connect,ended,9.0,
3619,mobile,ended,-253.0,
3620,mobile,ended,-404.0,
3621,connect,ended,-288.0,0.0
3622,mobile,ended,113.0,
3623,connect,ended,-73.0,
3624,mobile,ended,30.0,
3625,mobile,canceled,,
3626,mobile,ended,-24.0,
3627,mobile,canceled,,
3628,mobile,ended,-122.0,
3629,mobile,ended,9.0,
3630,mobile,ended,33.0,
3631,mobile,ended,-15.0,
3632,connect,canceled,,
3633,mobile,canceled,,
3634,connect,ended,2.0,
3635,mobile,ended,-21.0,
3636,mobile,ended,-62.0,
3637,connect,ended,-86.0,180.0
3638,mobile,ended,18.0,
3639,mobile,ended,173.0,
3640,mobile,ended,19.0,
3641,mobile,ended,51.0,
3642,mobile,ended,,
3643,mobile,ended,-30.0,
3644,mobile,ended,-6.0,210.0
3645,mobile,ended,81.0,
3646,connect,ended,-26.0,
3647,connect,canceled,,120.0
3648,mobile,ended,37.0,30.0
3649,connect,ended,,30.0
3650,mobile,ended,-25.0,90.0
3651,mobile,canceled,,
3652,mobile,ended,-436.0,
3653,mobile,ended,128.0,
3654,mobile,ended,-205.0,
3655,mobile,ended,34.0,
3656,connect,ended,37.0,60.0
3657,mobile,ended,59.0,
3658,mobile,ended,37.0,
3659,connect,ended,-451.0,150.0
3660,mobile,ended,862.0,
3661,mobile,ended,-53.0,
3662,mobile,ended,86.0,
3663,connect,ended,77.0,450.0
3664,mobile,ended,-165.0,
3665,mobile,ended,17.0,180.0
3666,connect,canceled,,
3667,mobile,ended,-16.0,
3668,connect,ended,3.0,
3669,mobile,canceled,,
3670,mobile,ended,-1.0,
3671,connect,ended,-8.0,
3672,connect,ended,56.0,
3673,mobile,ended,-38.0,
3674,mobile,ended,,
3675,mobile,ended,34.0,
3676,mobile,canceled,,
3677,mobile,ended,,
3678,mobile,ended,16.0,
3679,mobile,ended,7.0,
3680,connect,ended,-452.0,
3681,mobile,canceled,,
3682,mobile,ended,335.0,
3683,mobile,ended,4.0,
3684,mobile,canceled,,
3685,mobile,canceled,,
3686,mobile,canceled,,
3687,connect,ended,112.0,
3688,mobile,ended,-39.0,
3689,mobile,ended,10.0,
3690,mobile,ended,108.0,
3691,mobile,ended,-63.0,
3692,mobile,ended,-279.0,
3693,mobile,ended,13.0,
3694,mobile,ended,55.0,
3695,mobile,ended,-97.0,0.0
3696,mobile,canceled,,
3697,mobile,ended,3.0,
3698,mobile,ended,7.0,
3699,mobile,ended,,60.0
3700,mobile,canceled,,
3701,connect,ended,-65.0,
3702,mobile,ended,,
3703,connect,ended,-25.0,
3704,mobile,canceled,,
3705,connect,ended,190.0,
3706,mobile,ended,102.0,
3707,connect,ended,13.0,
3708,mobile,ended,-20.0,
3709,connect,ended,-143.0,690.0
3710,mobile,canceled,,
3711,mobile,ended,18.0,
3712,mobile,ended,43.0,
3713,mobile,ended,-193.0,
3714,mobile,canceled,,
3715,mobile,ended,-159.0,
3716,mobile,ended,-94.0,
3717,mobile,ended,-94.0,
3718,mobile,ended,56.0,
3719,connect,ended,-129.0,
3720,mobile,ended,39.0,60.0
3721,connect,ended,-14.0,
3722,mobile,ended,86.0,
3723,mobile,canceled,,
3724,mobile,ended,-22.0,
3725,mobile,ended,20.0,
3726,connect,ended,-112.0,
3727,mobile,ended,-10.0,
3728,mobile,canceled,,
3729,connect,ended,125.0,
3730,connect,canceled,,
3731,mobile,ended,,
3732,mobile,ended,,
3733,mobile,ended,241.0,
3734,mobile,ended,148.0,
3735,mobile,canceled,,
3736,mobile,ended,-11.0,
3737,mobile,ended,1.0,
3738,connect,ended,-116.0,
3739,mobile,ended,53.0,
3740,mobile,ended,-304.0,
3741,mobile,canceled,,
3742,mobile,ended,1.0,
3743,mobile,ended,4.0,
3744,mobile,ended,-132.0,
3745,mobile,ended,-25.0,
3746,mobile,ended,-31.0,
3747,mobile,ended,-33.0,
3748,mobile,ended,-7.0,
3749,mobile,ended,-7.0,
3750,mobile,ended,11.0,
3751,mobile,ended,13.0,
3752,mobile,ended,10.0,
3753,connect,canceled,,
3754,mobile,ended,-49.0,
3755,mobile,ended,32.0,
3756,mobile,ended,17.0,
3757,mobile,ended,704.0,0.0
3758,mobile,canceled,,
3759,mobile,ended,-4.0,
3760,mobile,ended,-330.0,
3761,mobile,ended,,
3762,connect,ended,-3.0,
3763,mobile,canceled,,
3764,mobile,ended,9.0,330.0
3765,mobile,ended,179.0,
3766,mobile,canceled,,
3767,mobile,ended,52.0,
3768,mobile,canceled,,
3769,mobile,ended,18.0,
3770,mobile,ended,6.0,
3771,mobile,ended,-32.0,
3772,mobile,ended,-5.0,
3773,mobile,ended,85.0,
3774,mobile,ended,-225.0,
3775,mobile,canceled,,
3776,mobile,canceled,,
3777,mobile,ended,63.0,
3778,mobile,ended,55.0,
3779,mobile,canceled,,
3780,connect,canceled,,300.0
3781,connect,ended,-29.0,
3782,mobile,ended,-167.0,
3783,mobile,ended,-29.0,
3784,mobile,ended,38.0,
3785,mobile,ended,206.0,
3786,mobile,ended,7.0,
3787,mobile,ended,-84.0,
3788,connect,ended,-161.0,
3789,mobile,ended,,
3790,mobile,ended,235.0,
3791,mobile,canceled,,
3792,mobile,ended,-2.0,
3793,mobile,ended,-127.0,
3794,mobile,ended,-144.0,
3795,connect,ended,-166.0,
3796,mobile,ended,-8.0,
3797,mobile,ended,30.0,
3798,connect,ended,-206.0,
3799,mobile,canceled,,
3800,mobile,ended,25.0,
3801,mobile,ended,23.0,
3802,mobile,ended,-1028.0,
3803,mobile,ended,-13.0,
3804,mobile,ended,209.0,
3806,mobile,ended,751.0,
3807,mobile,canceled,,
3808,mobile,ended,-108.0,
3809,mobile,ended,-793.0,
3810,mobile,ended,4.0,
3811,connect,canceled,,
3812,mobile,ended,-105.0,
3813,mobile,ended,,
3814,connect,ended,87.0,690.0
3815,mobile,ended,,
3816,mobile,ended,97.0,
3817,mobile,ended,-134.0,
3818,mobile,ended,63.0,
3819,mobile,ended,5.0,
3820,mobile,canceled,,
3821,connect,canceled,,
3822,mobile,canceled,,
3823,connect,ended,26.0,
3824,mobile,ended,-2.0,
3825,mobile,ended,,
3826,mobile,ended,-7.0,
3827,mobile,canceled,,
3828,mobile,ended,,
3829,mobile,ended,-5.0,
3830,mobile,ended,122.0,
3831,mobile,ended,-211.0,
3832,mobile,ended,-12.0,
3833,mobile,ended,43.0,
3834,connect,ended,-605.0,
3835,connect,ended,-10.0,150.0
3836,mobile,ended,24.0,
3837,connect,ended,-121.0,
3838,mobile,ended,-134.0,
3839,mobile,ended,31.0,
3840,mobile,ended,-35.0,
3841,connect,ended,,
3842,mobile,ended,59.0,
3843,mobile,ended,-82.0,
3844,mobile,ended,-18.0,
3845,mobile,ended,252.0,
3846,mobile,ended,,
3847,mobile,ended,,
3848,mobile,ended,297.0,
3849,mobile,ended,336.0,
3850,mobile,ended,164.0,120.0
3851,mobile,ended,71.0,
3852,mobile,ended,-723.0,
3853,mobile,ended,11.0,
3854,connect,canceled,,180.0
3855,mobile,ended,-167.0,
3856,mobile,ended,-1041.0,
3857,connect,canceled,,
3858,mobile,ended,-28.0,690.0
3859,connect,ended,-7.0,60.0
3860,mobile,ended,227.0,
3861,mobile,ended,27.0,
3862,mobile,ended,179.0,
3863,connect,ended,-57.0,
3864,mobile,ended,-30.0,
3865,mobile,ended,-113.0,
3866,mobile,ended,-39.0,
3867,mobile,ended,-64.0,
3868,mobile,canceled,,
3869,mobile,canceled,,
3870,connect,ended,-128.0,
3871,mobile,ended,42.0,
3872,mobile,canceled,,
3873,mobile,canceled,,
3874,mobile,ended,43.0,
3875,mobile,ended,379.0,
3876,mobile,ended,15.0,
3877,mobile,ended,,
3878,mobile,ended,-77.0,
3879,mobile,canceled,,
3880,connect,ended,72.0,
3881,connect,ended,-16.0,
3882,mobile,ended,,
3883,connect,ended,-183.0,
3884,mobile,canceled,,
3885,mobile,ended,30.0,
3886,mobile,ended,-47.0,
3887,mobile,ended,1087.0,
3888,mobile,canceled,,
3889,mobile,ended,83.0,300.0
3890,mobile,ended,13.0,
3891,mobile,ended,402.0,
3892,mobile,ended,373.0,
3893,mobile,ended,20.0,
3894,mobile,ended,-39.0,
3895,mobile,ended,,
3896,mobile,ended,188.0,60.0
3897,mobile,ended,-124.0,
3898,mobile,ended,,
3899,mobile,ended,-119.0,
3900,mobile,ended,73.0,
3901,mobile,canceled,,
3902,connect,canceled,,
3903,mobile,canceled,,
3904,mobile,ended,16.0,
3905,mobile,canceled,,
3906,mobile,canceled,,
3907,mobile,ended,,
3908,mobile,ended,-17.0,
3909,mobile,canceled,,
3910,mobile,ended,-29.0,
3911,mobile,ended,14.0,
3912,mobile,ended,-29.0,
3913,connect,ended,2.0,
3914,mobile,ended,16.0,
3915,mobile,ended,38.0,
3916,mobile,ended,31.0,
3918,mobile,ended,-85.0,
3919,connect,ended,125.0,60.0
3920,mobile,ended,75.0,
3921,mobile,ended,,
3922,mobile,ended,-4.0,
3923,mobile,ended,56.0,
3924,mobile,canceled,,
3925,mobile,ended,55.0,
3926,mobile,canceled,,
3927,mobile,ended,0.0,
3928,connect,ended,-30.0,
3929,mobile,ended,-153.0,
3930,mobile,ended,25.0,
3931,connect,ended,48.0,
3932,mobile,ended,-115.0,
3933,mobile,ended,1.0,
3934,mobile,ended,-9.0,
3935,mobile,ended,-109.0,
3936,mobile,ended,224.0,360.0
3937,connect,ended,-29.0,
3938,mobile,ended,-2.0,
3939,connect,ended,105.0,
3940,connect,ended,-152.0,
3941,connect,ended,51.0,
3942,mobile,ended,16.0,
3943,mobile,ended,,
3944,mobile,ended,-4.0,
3945,mobile,ended,-8.0,
3946,mobile,ended,-32.0,
3947,mobile,canceled,,
3948,mobile,canceled,,
3949,mobile,ended,-21.0,90.0
3950,connect,ended,-400.0,
3951,mobile,ended,694.0,
3952,mobile,ended,246.0,
3953,mobile,ended,-20.0,
3954,mobile,ended,197.0,
3955,mobile,ended,94.0,
3956,mobile,ended,-214.0,
3957,mobile,ended,3.0,
3958,mobile,ended,-122.0,
3959,mobile,ended,8.0,
3960,mobile,ended,-797.0,
3961,connect,canceled,,
3962,mobile,ended,-11.0,
3963,mobile,ended,134.0,
3964,mobile,canceled,,
3965,mobile,ended,55.0,
3966,mobile,ended,12.0,
3968,mobile,ended,395.0,
3969,mobile,ended,8.0,
3970,mobile,ended,2.0,
3971,mobile,ended,1.0,
3972,mobile,ended,-5.0,
3973,mobile,ended,71.0,
3974,mobile,ended,,
3975,mobile,ended,,
3976,mobile,ended,,
3977,connect,ended,-43.0,
3978,mobile,ended,-16.0,
3979,mobile,ended,439.0,
3980,mobile,ended,13.0,
3981,mobile,canceled,,
3982,mobile,ended,320.0,
3983,mobile,ended,1380.0,
3984,mobile,ended,-88.0,
3985,mobile,ended,24.0,
3986,mobile,ended,-9.0,
3987,connect,ended,-359.0,
3988,connect,ended,-133.0,30.0
3989,mobile,ended,127.0,
3990,mobile,ended,,
3991,mobile,ended,14.0,
3992,connect,ended,-13.0,
3993,mobile,ended,155.0,
3994,mobile,ended,119.0,
3995,connect,ended,-295.0,540.0
3996,mobile,ended,100.0,
3997,mobile,ended,19.0,
3998,mobile,canceled,,
3999,mobile,ended,120.0,
4000,connect,canceled,,
4001,mobile,ended,,
4002,mobile,ended,69.0,
4003,connect,ended,-168.0,
4004,connect,ended,195.0,
4005,mobile,ended,39.0,
4006,connect,ended,97.0,30.0
4007,mobile,ended,-6.0,
4008,mobile,ended,-96.0,
4009,mobile,ended,456.0,
4010,mobile,ended,-71.0,
4011,mobile,canceled,,
4012,mobile,ended,-82.0,
4013,mobile,canceled,,
4014,mobile,ended,-30.0,
4015,mobile,ended,62.0,
4016,mobile,ended,-28.0,
4018,mobile,ended,154.0,
4019,mobile,ended,1071.0,
4020,mobile,ended,,
4021,mobile,ended,-9.0,
4022,mobile,ended,1308.0,
4023,mobile,ended,146.0,180.0
4024,mobile,ended,249.0,
4025,mobile,ended,5.0,
4026,mobile,ended,-70.0,
4027,mobile,ended,63.0,
4028,mobile,canceled,,
4029,mobile,ended,,
4030,mobile,ended,-21.0,
4031,connect,ended,-2.0,
4032,mobile,ended,,
4033,connect,canceled,,
4034,mobile,ended,-170.0,
4035,mobile,ended,-325.0,
4036,connect,ended,-34.0,
4037,mobile,canceled,,
4038,mobile,ended,48.0,
4039,connect,ended,21.0,510.0
4040,mobile,ended,121.0,60.0
4041,mobile,ended,244.0,
4042,mobile,ended,23.0,
4043,mobile,ended,-89.0,
4044,mobile,ended,,
4045,mobile,canceled,,
4046,mobile,ended,27.0,
4047,mobile,ended,11.0,
4048,mobile,canceled,,
4049,connect,canceled,,
4050,mobile,ended,-70.0,
4051,mobile,canceled,,
4052,mobile,ended,837.0,
4053,mobile,ended,-69.0,
4054,mobile,ended,120.0,
4055,mobile,ended,28.0,
4056,mobile,ended,-73.0,
4057,mobile,ended,,
4058,mobile,ended,-61.0,
4059,mobile,ended,-17.0,
4060,connect,ended,5.0,240.0
4061,mobile,ended,89.0,
4062,mobile,ended,,
4063,mobile,ended,65.0,
4065,mobile,canceled,,
4066,mobile,ended,93.0,
4067,connect,ended,142.0,
4068,mobile,canceled,,
4069,mobile,ended,8.0,
4070,connect,ended,4.0,
4072,mobile,ended,,
4073,mobile,ended,,
4074,mobile,ended,441.0,
4075,mobile,canceled,,
4076,connect,ended,46.0,
4077,mobile,ended,,
4078,mobile,ended,,
4079,mobile,ended,7.0,
4080,mobile,ended,-43.0,
4081,mobile,ended,,
4082,connect,ended,30.0,
4083,mobile,ended,127.0,
4084,mobile,ended,-10.0,
4085,mobile,canceled,,
4086,mobile,canceled,,
4088,mobile,ended,-81.0,
4089,mobile,ended,16.0,
4090,connect,ended,,
4091,mobile,ended,-22.0,
4092,mobile,ended,100.0,600.0
4093,mobile,ended,,
4094,connect,ended,56.0,
4095,mobile,ended,121.0,
4096,mobile,ended,-639.0,
4097,mobile,ended,-13.0,
4098,mobile,ended,54.0,
4099,mobile,ended,-545.0,330.0
4100,mobile,canceled,,
4101,mobile,canceled,,
4102,mobile,ended,-77.0,
4103,mobile,ended,-608.0,
4104,connect,canceled,,
4105,mobile,ended,500.0,
4106,mobile,ended,-998.0,
4107,mobile,ended,8.0,
4108,mobile,ended,30.0,
4109,mobile,ended,-1.0,
4110,mobile,ended,-15.0,
4111,mobile,ended,17.0,
4112,mobile,ended,8.0,0.0
4113,mobile,ended,-14.0,
4114,connect,ended,147.0,
4115,connect,ended,-62.0,
4116,mobile,ended,37.0,
4117,mobile,ended,0.0,
4118,mobile,ended,95.0,
4119,mobile,canceled,,
4120,connect,ended,-10.0,
4121,mobile,ended,182.0,
4122,mobile,ended,11.0,
4123,mobile,canceled,,
4124,mobile,ended,108.0,
4125,mobile,ended,-6.0,
4126,mobile,ended,,
4127,mobile,ended,-113.0,
4128,mobile,ended,20.0,
4129,mobile,ended,,
4130,mobile,ended,32.0,
4131,mobile,ended,364.0,
4132,mobile,ended,24.0,
4133,connect,ended,-106.0,
4134,mobile,ended,29.0,
4135,mobile,ended,-10.0,
4136,mobile,ended,52.0,
4137,connect,ended,-507.0,
4138,mobile,canceled,,
4139,connect,ended,36.0,
4140,mobile,ended,,
4141,mobile,ended,-144.0,
4142,connect,ended,15.0,
4143,mobile,ended,4.0,
4144,mobile,ended,-11.0,
4145,connect,ended,101.0,
4146,mobile,ended,,
4147,mobile,ended,-185.0,
4148,mobile,ended,10.0,
4149,mobile,ended,-447.0,
4150,mobile,ended,-68.0,
4151,mobile,ended,79.0,
4152,mobile,ended,-20.0,
4153,mobile,ended,,
4154,mobile,ended,5.0,
4155,mobile,ended,,
4156,connect,ended,30.0,
4157,connect,ended,-49.0,
4158,connect,canceled,,0.0
4159,mobile,ended,16.0,
4160,mobile,ended,-3.0,
4161,mobile,ended,-44.0,
4162,mobile,ended,-55.0,
4163,mobile,ended,-138.0,
4164,connect,ended,-13.0,
4165,mobile,ended,26.0,
4166,mobile,ended,-1.0,
4167,mobile,canceled,,
4168,mobile,ended,17.0,
4169,connect,ended,-195.0,60.0
4170,mobile,ended,6.0,
4171,mobile,ended,-37.0,
4172,connect,ended,4.0,
4173,mobile,ended,-77.0,0.0
4174,mobile,ended,28.0,
4175,mobile,canceled,,
4176,connect,ended,110.0,
4177,mobile,canceled,,
4178,mobile,ended,-16.0,
4179,mobile,ended,-62.0,
4180,mobile,ended,,
4181,mobile,ended,109.0,
4182,mobile,ended,182.0,
4183,mobile,canceled,,
4184,mobile,ended,-48.0,
4185,mobile,ended,19.0,
4186,mobile,ended,-72.0,
4187,mobile,ended,19.0,
4188,connect,ended,-12.0,
4189,connect,canceled,,
4190,connect,ended,-19.0,0.0
4191,mobile,ended,15.0,
4192,mobile,ended,-28.0,
4193,mobile,ended,5.0,
4194,mobile,ended,131.0,
4195,mobile,ended,54.0,
4196,mobile,canceled,,
4197,mobile,ended,68.0,
4198,mobile,ended,,
4199,mobile,ended,-14.0,
4200,mobile,canceled,,
4201,connect,ended,52.0,
4202,mobile,ended,41.0,
4203,mobile,ended,3.0,
4204,mobile,ended,2.0,
4205,mobile,ended,-236.0,
4206,connect,ended,-82.0,510.0
4207,mobile,ended,,
4208,mobile,canceled,,
4209,mobile,ended,158.0,
4210,mobile,canceled,,
4211,mobile,ended,339.0,
4212,mobile,ended,-171.0,
4213,mobile,canceled,,
4214,mobile,ended,-28.0,60.0
4215,mobile,ended,0.0,
4216,mobile,ended,14.0,
4217,mobile,ended,-10.0,
4218,mobile,ended,5.0,
4219,mobile,ended,-14.0,
4220,mobile,ended,-25.0,
4221,mobile,ended,,
4222,mobile,ended,71.0,
4223,mobile,ended,-84.0,
4224,mobile,ended,29.0,
4225,mobile,ended,416.0,
4226,mobile,ended,-75.0,
4227,mobile,ended,866.0,
4228,mobile,ended,114.0,
4229,mobile,ended,21.0,
4230,connect,ended,-199.0,
4231,mobile,ended,26.0,
4232,mobile,ended,4.0,
4233,connect,ended,-32.0,90.0
4234,connect,ended,265.0,0.0
4235,mobile,canceled,,
4236,mobile,ended,23.0,
4237,mobile,ended,7.0,300.0
4238,connect,ended,55.0,
4239,mobile,ended,174.0,
4240,mobile,ended,17.0,
4241,mobile,ended,13.0,210.0
4242,mobile,ended,-36.0,
4243,mobile,ended,-38.0,
4244,connect,ended,42.0,120.0
4245,connect,ended,-1011.0,
4246,mobile,ended,133.0,
4247,mobile,ended,-43.0,
4248,mobile,ended,-249.0,
4249,connect,ended,54.0,
4250,mobile,ended,33.0,
4251,mobile,ended,362.0,
4252,mobile,ended,22.0,
4253,mobile,ended,,
4254,mobile,ended,-43.0,
4255,mobile,ended,38.0,
4256,connect,ended,4.0,
4257,mobile,ended,-118.0,
4258,mobile,ended,,
4259,connect,ended,-39.0,150.0
4260,connect,ended,101.0,
4261,mobile,ended,42.0,
4262,mobile,ended,323.0,
4263,mobile,ended,,
4264,mobile,ended,,
4265,mobile,ended,-4.0,
4266,mobile,ended,-6.0,
4267,mobile,ended,183.0,120.0
4268,mobile,ended,0.0,
4269,mobile,ended,6.0,
4270,connect,ended,17.0,
4271,mobile,ended,-30.0,
4272,connect,ended,-42.0,720.0
4273,connect,ended,62.0,
4274,mobile,ended,6.0,
4275,mobile,ended,9.0,
4276,mobile,ended,30.0,
4277,mobile,ended,-55.0,
4278,connect,ended,9.0,
4279,mobile,canceled,,
4280,mobile,ended,-89.0,570.0
4281,mobile,ended,-355.0,
4282,mobile,ended,50.0,
4283,mobile,ended,-11.0,
4284,connect,ended,3.0,
4285,mobile,ended,12.0,
4286,mobile,ended,23.0,
4287,mobile,ended,232.0,
4288,mobile,canceled,,
4289,mobile,ended,-53.0,
4290,connect,ended,43.0,570.0
4291,mobile,ended,33.0,
4292,mobile,ended,286.0,
4293,mobile,ended,621.0,
4294,mobile,ended,,210.0
4295,mobile,canceled,,
4296,connect,ended,-2.0,
4297,mobile,ended,-40.0,
4298,mobile,ended,8.0,
4299,mobile,ended,6.0,720.0
4300,connect,canceled,,270.0
4301,mobile,ended,,
4303,mobile,ended,-12.0,
4304,connect,ended,-49.0,
4305,mobile,ended,-2.0,
4306,mobile,ended,14.0,
4307,mobile,canceled,,0.0
4308,mobile,ended,-116.0,
4309,mobile,ended,22.0,0.0
4310,mobile,ended,2.0,
4311,connect,canceled,,
4312,connect,ended,7.0,90.0
4313,connect,ended,-169.0,
4314,mobile,ended,-28.0,
4315,mobile,ended,52.0,
4316,mobile,ended,-359.0,
4317,connect,ended,-1172.0,
4318,mobile,ended,13.0,
4319,mobile,ended,-151.0,
4320,mobile,ended,58.0,
4321,connect,ended,50.0,
4322,mobile,ended,14.0,
4323,mobile,ended,10.0,
4324,mobile,ended,10.0,
4325,mobile,ended,-50.0,
4326,mobile,ended,78.0,
4327,mobile,ended,138.0,
4328,mobile,ended,-8.0,
4329,mobile,ended,349.0,
4330,connect,ended,-26.0,
4331,mobile,ended,118.0,
4332,connect,ended,-2.0,
4333,mobile,canceled,,240.0
4334,mobile,ended,3.0,
4335,mobile,ended,6.0,
4336,mobile,ended,8.0,
4337,mobile,ended,,
4338,connect,ended,-2.0,
4339,mobile,ended,-99.0,
4340,mobile,ended,53.0,
4341,mobile,ended,-44.0,
4342,connect,ended,-68.0,690.0
4343,mobile,ended,93.0,
4344,mobile,ended,36.0,
4345,connect,ended,-97.0,
4346,mobile,canceled,,
4347,mobile,ended,-813.0,
4348,mobile,ended,118.0,
4349,mobile,ended,133.0,
4350,mobile,canceled,,
4351,mobile,ended,-78.0,
4352,mobile,ended,-5.0,
4353,mobile,ended,167.0,
4354,connect,ended,-28.0,240.0
4355,mobile,canceled,,
4356,connect,ended,-46.0,
4357,connect,canceled,,
4358,connect,ended,-158.0,
4359,connect,ended,5.0,
4360,mobile,ended,70.0,120.0
4361,mobile,ended,,
4362,mobile,ended,30.0,30.0
4363,mobile,ended,4.0,
4364,mobile,ended,836.0,
4365,mobile,ended,-52.0,90.0
4366,mobile,ended,393.0,
4367,mobile,ended,4.0,
4368,mobile,ended,-13.0,
4369,mobile,ended,,
4370,connect,ended,41.0,
4371,mobile,ended,-7.0,
4372,mobile,ended,736.0,
4373,connect,ended,-53.0,
4374,mobile,ended,5.0,
4375,mobile,ended,68.0,150.0
4376,mobile,ended,28.0,
4377,mobile,ended,10.0,
4378,connect,ended,42.0,
4379,mobile,ended,0.0,
4380,mobile,ended,108.0,
4381,mobile,ended,21.0,
4382,mobile,ended,-14.0,
4383,mobile,ended,,30.0
4384,mobile,ended,-126.0,
4385,mobile,ended,-21.0,
4386,mobile,ended,,
4387,mobile,ended,158.0,
4388,mobile,ended,16.0,
4389,mobile,ended,,
4390,connect,canceled,,
4391,mobile,canceled,,
4392,mobile,ended,621.0,210.0
4393,mobile,ended,12.0,
4394,connect,ended,-47.0,600.0
4395,mobile,ended,131.0,
4396,mobile,ended,851.0,
4397,mobile,canceled,,
4398,mobile,ended,174.0,
4399,mobile,ended,38.0,
4400,mobile,ended,467.0,
4401,mobile,ended,-4.0,
4402,mobile,ended,,
4403,mobile,ended,69.0,
4404,mobile,canceled,,
4405,mobile,ended,21.0,
4406,mobile,ended,-11.0,
4407,mobile,ended,-83.0,
4408,mobile,ended,50.0,
4409,mobile,ended,-47.0,
4410,mobile,ended,45.0,
4411,mobile,ended,316.0,
4412,mobile,ended,26.0,
4413,mobile,ended,1.0,
4414,connect,ended,87.0,
4415,mobile,ended,-59.0,
4416,connect,ended,30.0,
4417,mobile,ended,-16.0,
4418,connect,ended,-12.0,
4419,mobile,canceled,,
4420,mobile,ended,-101.0,
4421,mobile,ended,558.0,
4422,mobile,ended,-41.0,
4423,connect,ended,-126.0,
4424,mobile,ended,-24.0,
4425,mobile,canceled,,
4426,mobile,canceled,,
4427,mobile,ended,72.0,
4428,mobile,ended,0.0,30.0
4429,mobile,ended,67.0,
4430,connect,canceled,,
4431,mobile,ended,64.0,
4432,mobile,ended,-10.0,
4433,mobile,ended,-165.0,
4434,connect,ended,,
4435,mobile,ended,83.0,300.0
4436,mobile,ended,0.0,
4437,mobile,ended,468.0,
4438,mobile,ended,,
4439,mobile,ended,19.0,
4440,connect,ended,-14.0,
4441,mobile,ended,-146.0,
4442,mobile,ended,-7.0,
4443,mobile,ended,7.0,
4444,mobile,ended,-36.0,180.0
4445,mobile,ended,0.0,270.0
4446,mobile,ended,68.0,
4447,mobile,ended,176.0,
4448,mobile,ended,211.0,
4449,connect,ended,-81.0,720.0
4450,connect,ended,406.0,
4451,mobile,canceled,,
4452,mobile,ended,66.0,
4453,mobile,ended,-101.0,
4454,mobile,ended,52.0,
4455,connect,ended,92.0,
4456,mobile,canceled,,
4457,mobile,ended,5.0,
4458,connect,ended,-464.0,
4459,mobile,ended,,
4460,mobile,ended,72.0,120.0
4461,mobile,canceled,,
4462,connect,ended,37.0,
4463,mobile,ended,-21.0,
4464,mobile,ended,26.0,
4465,mobile,ended,20.0,
4466,mobile,ended,-9.0,
4467,mobile,ended,91.0,
4468,mobile,canceled,,
4469,mobile,ended,-84.0,
4470,mobile,canceled,,
4471,mobile,ended,35.0,
4472,mobile,ended,,
4473,mobile,ended,193.0,
4474,mobile,ended,16.0,
4475,connect,ended,-8.0,
4476,mobile,canceled,,
4477,mobile,ended,-33.0,
4478,mobile,ended,24.0,
4479,mobile,ended,2.0,
4480,connect,ended,-1250.0,
4481,mobile,ended,305.0,
4482,connect,ended,-27.0,
4483,mobile,ended,252.0,
4484,mobile,ended,113.0,
4485,connect,ended,326.0,
4486,mobile,ended,88.0,
4487,connect,ended,-63.0,
4488,mobile,ended,-4.0,90.0
4489,mobile,ended,49.0,
4490,mobile,ended,875.0,
4491,mobile,ended,-3.0,
4492,mobile,ended,215.0,
4493,mobile,ended,,
4494,mobile,ended,,
4495,mobile,ended,315.0,
4496,connect,ended,32.0,
4497,mobile,ended,36.0,
4498,mobile,ended,-568.0,
4499,mobile,ended,6.0,
4500,connect,ended,-328.0,
4501,mobile,ended,-73.0,
4502,mobile,ended,-1192.0,
4503,mobile,ended,4.0,0.0
4504,mobile,ended,71.0,
4505,mobile,ended,,
4506,mobile,canceled,,
4507,mobile,ended,-135.0,
4508,mobile,ended,443.0,
4509,mobile,ended,-61.0,
4510,mobile,ended,17.0,
4511,mobile,canceled,,
4512,mobile,ended,-81.0,
4513,mobile,ended,1326.0,
4514,mobile,ended,,
4515,mobile,ended,4.0,
4516,connect,ended,4.0,
4517,mobile,ended,-68.0,
4518,mobile,ended,,
4519,mobile,ended,51.0,
4520,mobile,ended,39.0,
4521,mobile,canceled,,
4522,mobile,ended,32.0,
4523,mobile,canceled,,
4524,mobile,ended,-159.0,
4525,mobile,ended,25.0,
4526,mobile,ended,105.0,
4527,connect,canceled,,330.0
4528,mobile,canceled,,
4529,mobile,ended,-44.0,
4530,mobile,ended,,
4531,mobile,ended,2.0,
4532,mobile,canceled,,
4533,mobile,ended,-7.0,
4534,mobile,ended,-19.0,
4535,connect,ended,51.0,60.0
4536,mobile,canceled,,
4537,mobile,ended,,
4538,mobile,ended,43.0,
4539,mobile,ended,35.0,
4540,connect,ended,-10.0,
4541,mobile,ended,93.0,
4542,mobile,ended,180.0,
4543,mobile,ended,-9.0,
4544,mobile,ended,-2.0,
4545,mobile,canceled,,
4546,mobile,ended,114.0,
4547,connect,ended,-55.0,
4548,mobile,ended,,
4549,connect,ended,5.0,
4550,mobile,ended,38.0,
4551,mobile,ended,23.0,
4552,mobile,ended,22.0,570.0
