hotel_name,url,score,description,address,latitude,longitude,cities
Vacancéole - Résidence Cap Camargue,/hotel/fr/residence-cap-med.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALF_5GnBsACAdICJDU5YWU1ZWEwLWEwNTEtNDE3MC05ZDIwLTU2NzVjMTQzMWI5NNgCBeACAQ&sid=9884a16f10b34b2ddeec7abbd1f47c2b&breadcrumb=hotel&srpvid=6e8142a2625900e5&,6.8,"La Vacancéole - Résidence Cap Camargue est une résidence dotée d&#39;une piscine extérieure chauffée, d&#39;un sauna et d&#39;une salle de sport. Elle se trouve au Grau-du-Roi, à 5 minutes de route de la plage de l’Espiguette. Une connexion Wi-Fi est disponible gratuitement dans les parties communes.Les appartements disposent d’une terrasse, d’une pièce à vivre avec un canapé-lit, d’une télévision à écran plat et d’un coin repas. Leur kitchenette entièrement équipée comprend une cafetière, un micro-ondes, un réfrigérateur et des plaques de cuisson.Un petit-déjeuner est servi tous les matins moyennant des frais supplémentaires.Des activités sont organisées à la Residence Cap Camargue en été.L’établissement est situé à 500 mètres du casino Flamingo et à 5 minutes de route du centre-ville du Grau-du-Roi. Un parking privé est disponible gratuitement sur place.","55 rue du Taillevent - Route de l'Espiguette, 30240 Le Grau-du-Roi, France",43.51726427,4.14993525,  Le Grau-du-Roi
Belambra Clubs Port Camargue - Les Salins,/hotel/fr/belambra-clubs-port-camargue-les-salins.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALF_5GnBsACAdICJDU5YWU1ZWEwLWEwNTEtNDE3MC05ZDIwLTU2NzVjMTQzMWI5NNgCBeACAQ&sid=d2e6a5e674ce0c1fb65134b84dc8688c&breadcrumb=hotel&srpvid=6e8142a2625900e5&,7.0,"Situé au Grau-du-Roi, à 400 mètres de North Beach, le Belambra Clubs Port Camargue - Les Salins propose des hébergements avec une piscine extérieure ouverte en saison, un parking privé gratuit, un jardin et une terrasse. Doté d'un restaurant, cet hôtel 4 étoiles propose des chambres climatisées avec connexion Wi-Fi gratuite et salle de bains privative. L'établissement possède un sauna, une équipe d'animation et un club pour enfants.Les chambres sont équipées d'une télévision et certaines possèdent un balcon.Un petit-déjeuner américain est servi chaque matin au Belambra Clubs Port Camargue - Les Salins.Parlant français et anglais, le personnel de la réception se fera un plaisir de vous fournir des informations pratiques sur la région.Vous séjournerez à 400 mètres de la plage de Rive Gauche et à 2,1 km de celle de Rive Droite. L'aéroport de Montpellier-Méditerranée, le plus proche, est implanté à 31 km.","Rue Amiot d'Inville, 30240 Le Grau-du-Roi, France",43.524719,4.141164,  Le Grau-du-Roi
Résidence mayflower,/hotel/fr/residence-mayflower.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=3442de8cd528c98e82e5e101ebfd8cbf&breadcrumb=hotel&srpvid=308542a1429c0093&,7.1,"Située à moins de 1 km de la plage Rive Gauche, la Résidence mayflower propose un service de prêt de vélos, une piscine extérieure ouverte en saison et des hébergements climatisés avec balcon et connexion Wi-Fi gratuite.Tous les logements comprennent une cuisine équipée d'un réfrigérateur, un salon avec un canapé-lit et une télévision à écran plat ainsi qu'une salle de bains privative. Un lave-vaisselle, un micro-ondes, des plaques de cuisson, une machine à café et une bouilloire sont également disponibles.Vous pourrez profiter d'une terrasse sur place et pêcher dans les environs.Vous séjournerez à moins de 1 km de Rive Droite et à 15 minutes à pied de North Beach. L'aéroport de Montpellier-Méditerranée, le plus proche, est à 29 km.","Avenue Georges Pompidou, 30240 Le Grau-du-Roi, France",43.533822,4.142818,  Le Grau-du-Roi
Hôtel l'Etoile,/hotel/fr/l-etoile-le-grau-du-roi.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=cd030940a78d5e3369e6b3a1fc52beda&breadcrumb=hotel&srpvid=308542a1429c0093&,6.8,"L'Hôtel l'Etoile est situé au Grau-du-Roi, à 24 km de la salle omnisports Montpellier Arena et du parc des expositions de Montpellier. Il propose des chambres familiales et une terrasse bien exposée. Le Zénith Sud Montpellier est à 28 km et le centre commercial Odysseum à 29 km.Les chambres comprennent une armoire. Leur salle de bains privative est pourvue d'une douche et d'articles de toilette gratuits.Un petit-déjeuner continental est servi chaque matin.Vous séjournerez à proximité des plages de la Rive Gauche, du nord et de la Rive Droite. L'aéroport de Montpellier-Méditerranée, le plus proche, est implanté à 29 km.","119 Avenue de Camargue, 30240 Le Grau-du-Roi, France",43.533181,4.140218,  Le Grau-du-Roi
Hôtel Café Miramar,/hotel/fr/ha-tel-miramar.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=da0f50af4a34230bbbb0de1d965330f5&breadcrumb=hotel&srpvid=308542a1429c0093&,8.6,"L’Hôtel Café Miramar vous accueille face à la mer, au Grau-du-Roi, à seulement 600 mètres du Seaquarium. D'avril à la fin de l'été, vous pourrez profiter d'une plage privée avec chaises longues, moyennant des frais supplémentaires.Insonorisées, les chambres comprennent toutes la climatisation réversible, une connexion Wi-Fi gratuite, une télévision à écran plat et une salle de bains privative avec une baignoire ou une douche. Certaines offrent une vue sur la mer. L’une d’entre elles est adaptée aux personnes à mobilité réduite.Le restaurant sert un petit-déjeuner continental tous les matins, ainsi que des plats préparés avec des produits locaux. Vous pourrez déguster un cocktail fait maison à toute heure de la journée en admirant la vue sur la mer. Par ailleurs, des journaux et une bagagerie sont disponibles à la réception.Vous séjournerez à 30 minutes en voiture de l’autoroute A9. Enfin, vous aurez l’occasion de visiter La Grande-Motte et Aigues-Mortes, accessibles à 10 km de l’Hôtel Café Miramar.","25 avenue Frédéric Mistral, 30240 Le Grau-du-Roi, France",43.53185232,4.14007276,  Le Grau-du-Roi
Hôtel Belle Vue d'Angleterre,/hotel/fr/belle-vue-d-39-angleterre.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=9918f165e7b416635e0d1c0233eeb2b9&breadcrumb=hotel&srpvid=308542a1429c0093&,7.4,"Situé au Grau-du-Roi, en Languedoc-Roussillon, à 22 km de Montpellier, l'Hôtel Belle Vue d'Angleterre propose une terrasse et une vue sur la mer.Toutes les chambres sont dotées de la climatisation et d'une télévision à écran plat.L'établissement comporte une bagagerie.Vous profiterez d'une connexion Wi-Fi gratuite au rez-de-chaussée de l'établissement. Nîmes est accessible à 38 km de l'Hôtel Belle Vue d'Angleterre. Vous rejoindrez Arles à 43 km. L'aéroport de Montpellier-Méditerranée est implanté à 15 km.","11 Quai Colbert, 30240 Le Grau-du-Roi, France",43.53624412,4.13543791,  Le Grau-du-Roi
Hotel Les Acacias,/hotel/fr/les-acacias-le-grau-du-roi.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=b2cc7117b8ca5d4674535f35f516aeb6&breadcrumb=hotel&srpvid=308542a1429c0093&,8.7,"L'Hotel Les Acacias, de style provençal, situé à 30 km de Montpellier et du Parc naturel régional de Camargue, dispose d'une terrasse et d'une bibliothèque.Toutes les chambres climatisées possèdent un réfrigérateur, une télévision par satellite à écran plat, un coffre-fort, une connexion Wi-Fi gratuite et une baignoire/douche.Un petit-déjeuner buffet est servi chaque matin et propose des céréales, des yaourts, du pain, des gâteaux, des viennoiseries, des boissons chaudes et du fromage. Vous trouverez des restaurants ainsi que des magasins à seulement 100 mètres.L'établissement possède un emplacement idéal à 80 mètres de la plage. Un service de réveil est possible sur demande et vous disposerez d'une bagagerie pour votre confort.","21 rue de l'Egalite, 30240 Le Grau-du-Roi, France",43.53865844,4.1349772,  Le Grau-du-Roi
Hôtel Restaurant Splendid Camargue,/hotel/fr/splendid.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=87ee88f492fbc66fe2b6f39d0bbdd981&breadcrumb=hotel&srpvid=308542a1429c0093&,8.3,"Situé sur le front de mer dans le centre-ville historique du Grau-du-Roi, le Splendid Hôtel Camargue propose des chambres climatisées dotées d'une connexion Wi-Fi gratuite. La plage se situe à seulement 5 mètres et certaines chambres offrent des balcons donnant sur la mer.Les chambres insonorisées du Splendid Hôtel affichent une décoration colorée. Elles incluent toutes une télévision par satellite à écran plat, ainsi qu'une salle de bains privative moderne pourvue d'un sèche-cheveux et d'articles de toilette gratuits. Toutes sont desservies par un ascenseur.Vous pourrez déguster une cuisine traditionnelle préparée avec des produits locaux de saison au restaurant. Un petit-déjeuner buffet est servi chaque matin dans la salle de petit-déjeuner ou en chambre sur demande.Le Splendid Hôtel Camargue met également à votre disposition des journaux gratuits dans le hall, ainsi qu'une bagagerie. Un parking public est accessible à proximité de l'hôtel.L'hôtel se trouve à 800 mètres de la gare du Grau-du-Roi. Vous pourrez rejoindre l'aquarium en 10 minutes à pied depuis l'hôtel.","21 Boulevard Alphonse Maréchal Juin, 30240 Le Grau-du-Roi, France",43.53412549,4.13711429,  Le Grau-du-Roi
Le Maray,/hotel/fr/le-maray.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=09c2efd2a33daca6890dd417877216b8&breadcrumb=hotel&srpvid=308542a1429c0093&,8.1,"Situé dans le delta de la Camargue, l'établissement Le Maray se trouve à 100 mètres de la plage et du centre-ville. Toutes ses chambres sont dotées de la climatisation ainsi que d'une connexion Wi-Fi gratuite. Vous pourrez gratuitement profiter d'un parking public à proximité.Pour votre séjour, vous pourrez choisir entre des chambres donnant sur le port de pêche ou sur la cour de l'hôtel. Toutes comprennent un téléphone, une télévision avec les chaînes Canal + ainsi qu'une douche ou une baignoire.Tous les matins, le restaurant de l'établissement Le Maray sert un petit-déjeuner continental, moyennant des frais supplémentaires. Vous pourrez le prendre sur la terrasse en guettant le retour des pêcheurs au port.La gare de Grau-du-Roi se trouve à 800 mètres. Vous pourrez visiter l'aquarium marin Seaquarium ou rejoindre la cité médiévale d'Aigues-Mortes, accessible en 10 minutes en voiture.","Quai Christian Gozioso, 30240 Le Grau-du-Roi, France",43.54034662,4.13651012,  Le Grau-du-Roi
Residence Residhotel Mayflower,/hotel/fr/residhotel-mayflower.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=7ab20316c8dbd0f36229bd724085555f&breadcrumb=hotel&srpvid=308542a1429c0093&,7.2,"La Residence Residhotel Mayflower vous accueille dans le village animé du Grau-du-Roi, à seulement 10 minutes à pied du port de pêche.Dotés d’un balcon, tous les appartements comprennent une télévision, un coin salon, une cuisine et une salle de bains.Au Residhotel Mayflower, vous pourrez profiter d’une variété d’installations, dont une piscine extérieure et un solarium, ouverts de juin à septembre. Un parking couvert est accessible sur réservation préalable, sous réserve de disponibilité et moyennant un supplément.","350, Avenue Georges Pompidou, 30240 Le Grau-du-Roi, France",43.53277434,4.14406251,  Le Grau-du-Roi
Hôtel boutique Quai d'Azur,/hotel/fr/quai-d-azur.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=43469afe7ace0b6e2f74e20d16e976c4&breadcrumb=hotel&srpvid=308542a1429c0093&,8.0,"Situé au cœur du Grau-du-Roi, un ancien village de pêcheurs méditerranéen devenu une station balnéaire, l'Hôtel boutique Quai d'Azur se trouve à 65 mètres du canal et à seulement 300 mètres de la plage. Il dispose d'une cour intérieure ombragée, agrémentée de plantes et de vignes.Chaque chambre comprend une télévision à écran plat et une salle de bains privative avec douche. Vous bénéficierez d'une connexion Wi-Fi gratuite dans les parties communes.Vous pourrez savourer un petit-déjeuner servi dans le patio. Vous pourrez également utiliser la cuisine commune, équipée d'ustensiles, d'un réfrigérateur et d'un micro-ondes.L'Hôtel boutique Quai d'Azur se trouve à 5 minutes à pied de la gare du Grau-du-Roi et à 2,5 km du port de plaisance de Port Camargue. L'aéroport de Montpellier-Méditerranée est situé à 25 minutes de route. Un parking public situé à proximité est accessible moyennant des frais supplémentaires.","31, Rue du Vidourle, 30240 Le Grau-du-Roi, France",43.53821659,4.13717866,  Le Grau-du-Roi
Hôtel Restaurant Le Provençal,/hotel/fr/le-provenassal.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=794622d48d0f7fbe836da178b42a40aa&breadcrumb=hotel&srpvid=308542a1429c0093&,7.8,"Situé au Grau du Roi, l'Hôtel Restaurant Le Provençal vous accueille en centre-ville dans l'une des principales rues commerçantes. Il se trouve à seulement 200 mètres de la plage et à 50 mètres du port.Décorées dans des styles différents, les chambres du Provençal disposent d'une télévision et d'un bureau. Chacune possède également une salle de bains privative avec articles de toilette et miroir grossissant. Toutes bénéficient de la connexion Wi-Fi gratuite.L'hôtel sert un petit-déjeuner continental tous les jours à partir de 9h00. Il dispose également d'un bar-restaurant de style provençal où vous pourrez dîner sur la terrasse ou dans le patio ombragé.À seulement 5 minutes à pied de la gare, Le Provençal est idéalement situé pour découvrir le département du Gard. La Grande-Motte se trouve à 20 minutes en voiture et Aigues-Mortes à 11 minutes. Un parking public est disponible gratuitement à 200 mètres de l'hôtel.","45 rue des combattants, 30240 Le Grau-du-Roi, France",43.53677045,4.13748141,  Le Grau-du-Roi
Hotel Les Templiers,/hotel/fr/les-templiers.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=e95eb4d6ef437af77544558fdea67305&breadcrumb=hotel&srpvid=308542a1429c0093&,8.6,"Aménagé au sein d'une maison de marchand datant du XVIIIe siècle, l'Hotel Les Templiers se situe dans la ville fortifiée d'Aigues-Mortes, dans le sud de la France. Cet établissement propose des hébergements climatisés, dotés d'une télévision et d'une salle de bains privative.L'Hotel Les Templiers sert chaque matin un petit-déjeuner continental. Un bar et un jardin sont à votre disposition. Une connexion Wi-Fi est disponible gratuitement à la réception de l'hôtel ouverte 24h/24.Vous pourrez découvrir les étangs de la Ville et de la Marette, situés à proximité du Templiers Hotel. Le parcours de golf de La Grande Motte est à seulement 7 km. Vous pourrez accéder à un parking public payant voisin.","21 Et 23 Rue De La Republique, 30220 Aigues-Mortes, France",43.56694565,4.19187346,  Aigues-Mortes
Boutique Hôtel des Remparts & Spa,/hotel/fr/les-remparts-aigues-mortes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=b8dac299d6cee25015a4dda90dc31133&breadcrumb=hotel&srpvid=308542a1429c0093&,9.4,"Aménagé dans une ancienne base militaire datant du XVIIIe siècle, au sein des remparts médiévaux d'Aigues-Mortes, le Boutique Hôtel des Remparts & Spa est un établissement raffiné, doté d'un bar et d'une terrasse avec des chaises longues. Un spa avec une piscine intérieure chauffée est à votre disposition. Ce boutique hôtel se trouve en face de la tour de Constance et du Centre des Monuments nationaux.Présentant une hauteur sous plafond comprise entre 3,30 mètres et 4 mètres, les chambres disposent de murs en pierre, d'un minibar, d'une télévision à écran plat et d'une connexion Wi-Fi gratuite. Toutes comportent une salle de bains avec une baignoire îlot, une douche à l'italienne, des peignoirs et des chaussons. Le coin chambre et la salle de bains ne sont pas séparés. Tous les hébergements donnent sur les remparts.Un petit-déjeuner continental est servi tous les matins. Vous pourrez le savourer dans l'un des salons ou sur la terrasse, lorsque le temps le permet.Vous pourrez prendre un verre au bar-salon de l'hôtel, muni d'un mobilier contemporain et offrant des vues panoramiques sur les remparts.Vous séjournerez à 5 minutes de marche de la gare d'Aigues-Mortes et à 20 minutes de route de l'aéroport Montpellier Méditerranée. Le golf de la Grande Motte est à 12 km.","6, Place Anatole France, 30220 Aigues-Mortes, France",43.56803552,4.1903438,  Aigues-Mortes
Hotel Des 4 Vents,/hotel/fr/des-4-vents.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=af781c50ee932d2a209fd38c8fe7adf1&breadcrumb=hotel&srpvid=308542a1429c0093&,8.3,"L'Hotel Des 4 vents est situé à Aigues-Mortes, sur la côte méditerranéenne, à 40 km de Nîmes et à 35 km de Montpellier. Il propose des hébergements climatisés avec connexion Wi-Fi gratuite, un défibrillateur et une piscine extérieure. L'hôtel se trouve à 15 minutes à pied de la ville médiévale. Les lacs environnants se trouvent à moins de 10 minutes en voiture.Chaque chambre du 4 Vents est équipée d'une télévision et d'une salle de bains privative. Elles possèdent également un balcon privé.Le petit-déjeuner est servi tous les jours et l'Hotel des 4 Vents possède une terrasse de jardin. Vous pourrez vous détendre au bar.Un parking privé est disponible gratuitement sur place.","939 Route De Nimes, 30220 Aigues-Mortes, France",43.57702546,4.19753909,  Aigues-Mortes
"Hôtel-Restaurant ""Chez Carrière""",/hotel/fr/restaurant-quot-chez-carriere-quot.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=ba7537ec166a22f2dffb5dec60630483&breadcrumb=hotel&srpvid=308542a1429c0093&,8.6,"L'Hôtel-Restaurant ""Chez Carrière"" est situé à Aigues-Mortes. Cet hôtel dispose d'une connexion Wi-Fi gratuite et d'une terrasse. Vous séjournerez dans le quartier médiéval d'Aigues-Mortes.Les chambres climatisées comprennent une armoire et une télévision à écran plat. La salle de bains privative est pourvue d'une douche, d'articles de toilette gratuits et d'un sèche-cheveux.Un petit-déjeuner continental est servi dans la salle prévue à cet effet.Montpellier se trouve à 26 km. L'aéroport de Montpellier-Méditerranée, le plus proche, est à 19 km. Une carte de stationnement public est fournie gratuitement à l'arrivée.","18 rue Pasteur, 30220 Aigues-Mortes, France",43.56651351,4.19115815,  Aigues-Mortes
Le Mas Des Sables,/hotel/fr/le-mas-des-sables-aigues-mortes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=a4419fbca4e612f502c4b7f2ae3c4d86&breadcrumb=hotel&srpvid=308542a1429c0093&,7.6,"Le Mas des Sables vous accueille dans un parc de 7 hectares de verdure à 2 km des remparts de la cité médiévale d'Aigues-Mortes. Vous pourrez vous détendre dans le jardin ou dans la piscine extérieure. Vous bénéficierez gratuitement d’une connexion Wi-Fi et d’un parking. Vous séjournerez à 28 km des Saintes-Maries-de-la-Mer.Les chambres climatisées sont décorées dans un style méditerranéen. Elles possèdent un téléphone, la télévision par satellite et une salle de bains privative. La plupart des chambres donnent sur le jardin. Les chambres au rez-de-chaussée sont réparties en pavillons de 4 chambres.Par ailleurs, le Mas des Sables sert des spécialités régionales dans la salle à manger décorée dans un style camarguais ou sur la terrasse fleurie.L’établissement bénéficie d'un accès direct à la Via Rhôna, itinéraire cyclable reliant le lac Léman à la Méditerranée, entre les étapes 20 et 21 du tronçon Avignon à Sète.Enfin, Le Mas Des Sables se trouve à 20 minutes en voiture de l'aéroport de Montpellier-Méditerranée.","CD 979 Route de Nîmes, 30220 Aigues-Mortes, France",43.58606025,4.19745116,  Aigues-Mortes
Noemys Aigues-Mortes - ex Mona Lisa Royal Hôtel,/hotel/fr/le-royal-hotel-aigues-mortes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=5bef565e7b6e0b5b331872db0630ede2&breadcrumb=hotel&srpvid=308542a1429c0093&,7.2,"Doté d'une connexion Wi-Fi gratuite et d'une piscine extérieure ouverte en saison, le Noemys Aigues-Mortes - ex Mona Lisa Royal Hôtel se trouve à Aigues-Mortes, à 15 minutes de route du parc naturel régional de Camargue. La plage la plus proche est à 15 minutes de route. Un parking gratuit est à votre disposition sur place.Certaines chambres offrent une vue sur la piscine ou le jardin Tous les hébergements sont pourvus d’une télévision à écran plat et d’une salle de bains privative. Certaines chambres disposent également d'une terrasse privée.Un petit-déjeuner buffet peut être servi moyennant un supplément.Le Noemys Aigues-Mortes - ex Mona Lisa Royal Hôtel propose également des salles de réunion.Nîmes se trouve à 40 km du Noemys Aigues-Mortes - ex Mona Lisa Royal Hôtel, tandis qu'Arles est à 45 km. L’aéroport le plus proche, celui de Montpellier-Méditerranée, est à 26 km.","939, Route De Nîmes, 30220 Aigues-Mortes, France",43.57639589,4.19781804,  Aigues-Mortes
Hotel L'Escale,/hotel/fr/l-39-escale-aigues-mortes.fr.html?aid=304142&label=gen173nr-1FCAQoggJCMnNlYXJjaF9haWd1ZXMtbW9ydGVzLCBsYW5ndWVkb2Mtcm91c3NpbGxvbiwgZnJhbmNlSA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuALC_5GnBsACAdICJDNkMzk1MGRkLTIyZWMtNGY1NC05ZDI4LTg0NDRhZmM0NmQwYtgCBeACAQ&sid=0067a513dc63da46fc6e03e309c22482&breadcrumb=hotel&srpvid=308542a1429c0093&,8.1,"Situé à Aigues-Mortes, à moins de 23 km de la salle omnisports Montpellier Arena et du parc des expositions de Montpellier, l'Hotel L'Escale propose un restaurant, un bar et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. Il propose des chambres familiales et une terrasse bien exposée. Le Zénith Sud Montpellier se trouve à 27 km et le centre commercial Odysseum à 28 km.L'hôtel sert un petit-déjeuner continental.L'Hotel L'Escale se trouve à 28 km de l'hôtel de ville de Montpellier et à 32 km du Corum. L'aéroport de Montpellier-Méditerranée, le plus proche, est à 29 km.","6 rue du Port, 30220 Aigues-Mortes, France",43.56879591,4.18808669,  Aigues-Mortes
